  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  6Oct23 ??       2136:39.46 /sbin/launchd
    0    83     1   0  6Oct23 ??       485:00.61 /usr/libexec/logd
    0    85     1   0  6Oct23 ??        17:52.04 /usr/libexec/UserEventAgent (System)
    0    87     1   0  6Oct23 ??         1:56.09 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    88     1   0  6Oct23 ??        67:36.87 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    89     1   0  6Oct23 ??        45:48.81 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    91     1   0  6Oct23 ??         6:07.96 /usr/sbin/systemstats --daemon
    0    94     1   0  6Oct23 ??        32:08.10 /usr/libexec/configd
    0    96     1   0  6Oct23 ??       110:16.74 /System/Library/CoreServices/powerd.bundle/powerd
    0    97     1   0  6Oct23 ??         0:34.85 /usr/libexec/IOMFB_bics_daemon
    0   102     1   0  6Oct23 ??         0:07.69 /usr/libexec/remoted
    0   107     1   0  6Oct23 ??         1:28.29 /usr/libexec/watchdogd
    0   111     1   0  6Oct23 ??        97:14.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0   113     1   0  6Oct23 ??         0:02.71 /usr/libexec/kernelmanagerd
    0   114     1   0  6Oct23 ??         1:16.33 /usr/libexec/diskarbitrationd
    0   118     1   0  6Oct23 ??         4:26.14 /usr/sbin/syslogd
    0   121     1   0  6Oct23 ??         9:21.44 /usr/libexec/thermalmonitord
    0   122     1   0  6Oct23 ??        49:08.61 /usr/libexec/opendirectoryd
    0   123     1   0  6Oct23 ??        31:15.36 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   124     1   0  6Oct23 ??        68:57.84 /System/Library/CoreServices/launchservicesd
  266   125     1   0  6Oct23 ??         5:05.24 /usr/libexec/timed
  213   126     1   0  6Oct23 ??         0:12.62 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   127     1   0  6Oct23 ??         4:56.70 /usr/sbin/securityd -i
  205   129     1   0  6Oct23 ??       114:21.03 /usr/libexec/locationd
    0   131     1   0  6Oct23 ??         0:00.16 autofsd
    0   132     1   0  6Oct23 ??        47:14.71 /usr/libexec/dasd
  241   134     1   0  6Oct23 ??        13:37.82 /usr/sbin/distnoted daemon
    0   138     1   0  6Oct23 ??         0:01.49 /System/Library/CoreServices/logind
